Record_ID,Department,Region,Month,Operational_Hours,Downtime_Hours,Maintenance_Cost_USD,Labor_Cost_USD,Material_Cost_USD,Energy_Cost_USD,Forecasted_Total_Cost_USD
REC000077,Chassis,Austin,2023-01,153.1,1.6,9440.27,5040.62,3664.01,2666.28,22788.850421766183
REC000078,Chassis,Austin,2023-02,178.7,7.3,9381.89,5145.28,3273.95,1912.41,20159.24233759026
REC000079,Paint,Shanghai,2023-02,155,6.1,11905.01,7031.3,2932.93,2941.14,29076.072320168165
REC000080,Chassis,Berlin,2023-04,139.7,4,17168.26,5950.81,3820.84,2675.95,31872.14624616924
REC000081,Chassis,Austin,2023-03,170.6,5.5,15952.51,5414.7,4231.99,1407.22,28718.17132207304
REC000082,Logistics,Austin,2024-05,173.6,5.1,16185.95,3993.4,2221.95,3241.12,24229.030595397337
REC000083,Paint,Shanghai,2024-02,157.6,8,13334.02,4251.07,4713.82,3064.34,26140.911187165333
REC000084,Logistics,Shanghai,2023-02,139.1,3,11137.94,3558.36,4017.93,1933.38,18692.210619877093
REC000085,Logistics,Austin,2024-04,159.4,8,13005.68,4282.32,4303.69,2762.46,22060.87573053483
REC000086,Paint,Shanghai,2023-11,180.7,7.7,7752.24,7588.28,5983.5,3368.65,25700.188025116466
REC000087,Battery,Austin,2024-01,162,3.7,16635.18,4832.14,3859.13,2519.98,30044.770027420942
REC000088,Logistics,Berlin,2023-01,167.7,5.8,6648.58,5273.17,1337.17,2048.95,15465.127502575471
REC000089,Assembly,Fremont,2024-11,168.3,6.1,11616.11,4339.5,2177.71,2033.1,22014.892600820433
REC000090,Assembly,Shanghai,2023-02,169.7,11,11998.35,3595.59,1679.55,1245.51,17389.41634019415
REC000091,Chassis,Fremont,2023-02,178.6,3.4,14540.9,5221.18,4426.01,2763.91,30663.13252449982
REC000092,Assembly,Austin,2024-09,170.8,1.1,13318.02,5224.04,4363.06,2476.93,28255.172571738676
REC000093,Chassis,Austin,2023-05,159.2,1,13516.73,6740.91,4794.97,1731.46,29546.783995097157
REC000094,Battery,Austin,2023-04,148.8,5.4,4949.88,4265.67,3792.21,1140.01,13009.562555572405
REC000095,Paint,Fremont,2023-12,164.3,7,11497.34,4340.52,4701.23,1019.93,22406.342480601008
REC000096,Paint,Austin,2023-03,158.1,3.2,10099.04,3837.43,1411.75,1526.9,20637.851666690553
REC000097,Paint,Shanghai,2024-08,167.2,4.6,12447.71,5330.62,2963.12,2039.45,18344.846100663617
REC000098,Assembly,Berlin,2023-10,151.4,4.1,11604.05,6607.41,2082.88,2507.84,22584.590719077016
REC000099,Battery,Berlin,2024-08,157,2.7,12664.19,6550.15,1378.73,2861.02,24932.783712140223
REC000100,Assembly,Shanghai,2024-06,160.1,6.2,8422.05,7571.25,4793.22,2541.53,21687.897303527883
REC000101,Assembly,Berlin,2024-09,150.6,1.5,12305.13,3099.2,1802.01,2873.43,19094.96920340358
REC000102,Battery,Fremont,2024-09,160.4,6.3,17249.02,5498.12,2845.13,2114.88,26479.447851266515
REC000103,Battery,Austin,2024-09,167.9,4.1,18386.96,5671.58,3492.23,1975.37,27029.462744546454
REC000104,Battery,Austin,2023-10,179.1,7,16051.02,2785.76,2189.18,2110.49,24432.25713972669
REC000105,Battery,Austin,2023-01,152.6,5.3,6510.9,6439.36,1150.88,1036.9,13124.698367033137
REC000106,Paint,Fremont,2023-06,169.1,1.9,11130.98,1562.93,3153.71,2756.17,16636.916939360828
REC000107,Body,Fremont,2023-11,140.2,5.6,10502.23,4636.75,2466.66,1576.25,17806.818301935502
REC000108,Body,Fremont,2023-02,159.9,4.2,12459.66,2523.6,4884.7,1664.41,24795.475431066152
REC000109,Battery,Shanghai,2023-07,160.7,7.2,15979.51,9528.46,3303.04,1796.66,35274.32130894059
REC000110,Body,Fremont,2024-08,168.1,6.5,11861.65,4828.12,3593.05,3233.47,23887.05981269347
REC000111,Body,Berlin,2024-09,154.8,7.3,9242.3,6424.78,300,1418.61,20485.348053600774
REC000112,Battery,Shanghai,2024-09,162.4,4.3,15484.46,5039.92,3475.3,2055.74,25916.67864823837
REC000113,Body,Shanghai,2024-09,171.1,3.2,13115,3938.76,2892.46,1967.26,25672.86476768573
REC000114,Assembly,Shanghai,2024-06,148.7,5,14315.58,6660.76,4462.2,1757.46,28656.886145426004
REC000115,Chassis,Fremont,2024-09,140.4,6.5,15031.34,4949.94,2310.67,2486.35,25357.66293104428
REC000116,Chassis,Shanghai,2024-07,170.8,3.1,10982.81,3225.93,3516.88,1025.8,17420.909949900666
REC000117,Battery,Fremont,2023-04,150,5.6,8456.34,4050.49,1934.6,2906.39,17374.725958469717
REC000118,Paint,Fremont,2024-01,164.6,5.8,12651.26,3494.65,1533.81,2032.15,18860.21600930287
REC000119,Battery,Shanghai,2024-06,179.5,7.8,10968.92,4866.08,2468.5,2094.59,18422.603450618615
REC000120,Paint,Austin,2024-08,168.4,2.9,12220.23,4578.64,2612.74,2862.36,20478.23358281866
REC000121,Chassis,Austin,2024-12,150.3,6,16250.88,4689.21,1920.05,2773.05,26227.95658496465
REC000122,Battery,Shanghai,2024-01,145.4,4,12598.7,5714.64,2741.75,1622.73,20264.93375
REC000123,Logistics,Austin,2024-07,152.2,3.5,17519.84,9023.55,3346.88,673.98,32769.039988854456
REC000124,Assembly,Berlin,2024-05,161.7,8.9,12883.76,5110.81,3891.91,2029.69,22924.30218450364
REC000125,Body,Berlin,2023-01,157.5,5.9,11141.92,3777.74,982.77,1904.35,17600.86661978631
REC000126,Paint,Fremont,2023-06,173.6,8.1,8218.55,8398.02,3053.36,1591.33,22714.377667471468
REC000127,Logistics,Austin,2024-07,166.7,3.5,12672.23,7215.43,972.45,2228.86,19592.052507985354
REC000128,Body,Berlin,2024-08,152.7,8.4,9251.41,5825.67,4464.29,2331.3,15797.309680250837
REC000129,Body,Shanghai,2023-01,168.5,4.2,13601.11,5205.95,4201.87,1819.12,22548.526021035166
REC000130,Battery,Austin,2023-08,175.1,6.6,11660.15,5592.89,2879.51,2197.82,24310.03688353103
REC000131,Body,Berlin,2024-05,156.8,3.1,11562.02,1486.57,2138.53,2795.71,19167.124190091956
REC000132,Assembly,Berlin,2024-09,164.8,2.9,12255.46,2604.43,2903.04,3173.96,18172.77287027653
REC000133,Logistics,Shanghai,2024-10,151.3,4.9,12699.32,6310.96,1730.37,1507.36,20572.679951407106
REC000134,Body,Fremont,2024-03,158.6,8.1,11897.39,7165.66,4692.55,2772.24,26796.084061218196
REC000135,Battery,Shanghai,2024-06,151.1,7.5,18409.94,2289.55,1952.73,1779.56,23728.94995790524
REC000136,Assembly,Fremont,2023-07,172.4,5.3,9683.86,3685.13,3701.6,1367.71,19458.19190694974
REC000137,Chassis,Berlin,2024-04,155,4.4,15072.6,4003.22,2360.49,2472.96,25052.60309449488
REC000138,Logistics,Fremont,2023-07,164.4,5.6,15766.95,3593.65,3514.05,1394.38,27983.180982070833
REC000139,Body,Berlin,2024-05,166.4,2.9,8677.74,5456.47,2719.28,916.14,19716.228098046107
REC000140,Battery,Berlin,2023-04,191.1,5.3,12169.35,6117.38,3732.56,1835.3,24380.76043564052
REC000141,Chassis,Austin,2023-12,157.3,5.1,13068.74,3471.4,4110.07,1615.29,22620.805310218104
REC000142,Chassis,Fremont,2024-01,152.2,5.1,12514.03,2869.63,2638.23,2141.05,22197.433864585506
REC000143,Paint,Fremont,2023-04,159.3,5.9,12396.62,3237.22,3267.62,2103.89,25079.05477422871
REC000144,Assembly,Fremont,2024-09,151.5,6.6,13875.88,4319.56,4927.53,2554.29,22708.42964
REC000145,Body,Shanghai,2023-01,155.1,0.2,5710.42,7382.55,3020.15,861.23,16623.732037681188
REC000146,Battery,Austin,2023-01,167.3,3.3,11704.44,5100.2,3570.62,1822.93,20017.575907066475
REC000147,Paint,Austin,2023-07,153.3,3.7,10739.2,7893.38,3786.54,756.1,25914.289992797338
REC000148,Assembly,Austin,2023-09,165.6,4.7,9842.04,6188.58,1879.99,2279.92,21659.945426639475
REC000149,Paint,Shanghai,2023-01,166,4.9,14637.42,4061.34,1554.63,2628.88,21030.29448597337
REC000150,Logistics,Fremont,2024-04,162.5,6.3,15096.41,5202.98,3059.73,1829.29,26574.908915175703
REC000151,Assembly,Fremont,2024-06,166.7,5.6,15410.38,4212.57,2590.16,1615.4,21969.210265208043
REC000152,Assembly,Fremont,2024-10,157.1,7.4,14554.01,3358.66,2017.15,1225.93,21605.210862804604
REC000153,Body,Austin,2024-03,140,4.4,8408.64,4538.77,980.44,2893.6,19325.986173026835
REC000154,Assembly,Austin,2023-06,160.6,3.6,12436.91,6186.51,2666.56,2619.55,25299.064917905445
REC000155,Paint,Berlin,2023-02,160.8,4.7,15328.64,4134.89,2845.37,2534.32,28291.526646296636
REC000156,Assembly,Shanghai,2023-09,156.3,5.1,4443.16,4643.4,3559.19,2515.86,17375.11766012169
REC000157,Body,Shanghai,2023-04,166.5,5.2,16877.16,4113.52,2877.2,2189.31,23528.823146139253
REC000158,Body,Austin,2024-01,167.6,4.5,8237.31,7027.1,1456.64,3451.8,23830.757000134105
REC000159,Logistics,Berlin,2024-11,162.2,7.2,9330.79,4730.51,2633.85,2560.61,17312.11493017372
REC000160,Paint,Fremont,2024-10,161,7,14298.35,4519.51,1948.24,1651.48,17690.205658928728
REC000161,Chassis,Austin,2023-11,172.2,7.2,17847.46,4555,3649.05,869.46,26298.079470603185
REC000162,Chassis,Shanghai,2024-01,149.3,3,9197.77,5491.21,4518.81,247.61,16640.692609348505
REC000163,Assembly,Shanghai,2023-11,156.7,6.4,9643.49,5130.94,2998.73,1782.87,19007.411977955613
REC000164,Logistics,Shanghai,2024-07,170,8.2,15765.42,6443.82,2702.51,2425,28819.405312185067
REC000165,Battery,Fremont,2023-08,165.4,7.2,12493.3,4425.06,3263.29,2666.73,27241.84103550578
REC000166,Assembly,Shanghai,2023-07,157.6,4,11255.59,7660.68,4312.86,1864.65,22815.71599008422
REC000167,Logistics,Fremont,2024-04,163.9,4.3,12629.41,3913.64,526.4,1251.02,16683.069753624786
REC000168,Paint,Fremont,2023-03,154.5,1.9,18553.5,5182.62,2137.81,1054.42,28035.722173780097
REC000169,Paint,Fremont,2024-05,161.6,7.6,14309.75,5704.62,2211.91,1989.64,22754.587993906778
REC000170,Paint,Austin,2024-06,166.9,3,13065.88,4970.83,3067.81,2104.69,24147.567685528695
REC000171,Paint,Fremont,2024-03,172.9,4,13739.43,5021.55,3407.82,314.09,27895.15017783755
REC000172,Paint,Berlin,2024-05,166.6,6.1,13246.96,3679.59,3342.76,2011.89,18062.152843146134
REC000173,Logistics,Shanghai,2023-11,173.6,5.3,14740.01,6008.93,3308.51,2639.88,27738.649947649286
REC000174,Logistics,Austin,2023-05,145.6,5.7,10085.25,5239.08,3059.46,2103.07,18005.594242316904
REC000175,Body,Shanghai,2024-04,137.9,3.8,11795.76,5041.38,2559.88,2000.41,19887.907295435285
REC000176,Chassis,Fremont,2024-03,138.2,2.5,11940.35,2148.98,3051.4,2189.95,19548.508245930294
REC000177,Paint,Austin,2023-10,171.2,5.4,9220.55,5849.12,660.24,2342.04,18088.519406116287
REC000178,Battery,Berlin,2024-02,166,3.2,8705.22,5939.63,2155.26,1527.49,18494.254492383527
REC000179,Logistics,Fremont,2023-02,152.8,6,16189.31,862.8,3155.86,3039.77,24334.535528946693
REC000180,Battery,Shanghai,2024-04,156.2,3.2,14126.29,5959.59,1615.87,2394.18,22573.262771208338
REC000181,Battery,Berlin,2024-07,163.4,4.7,17306.24,4654.16,1731.83,2027.65,29867.283124444446
REC000182,Battery,Fremont,2023-08,152.8,8.4,13514.03,2508.45,2825.63,2060.68,18776.685965648616
REC000183,Body,Berlin,2024-03,151.8,5.4,12959.24,3549.62,4267.89,1735.13,22812.334608431018
REC000184,Logistics,Fremont,2023-10,153.5,3.4,11388.8,3145.36,3023.13,3009.06,22832.13038307587
REC000185,Battery,Austin,2023-05,152.6,6,15024.77,3725.9,1490.69,2923.28,21077.32794121687
REC000186,Paint,Fremont,2024-08,160.4,4.7,8181.35,5805.12,3049.44,2032.34,18309.36538880174
REC000187,Assembly,Austin,2024-04,176.6,3.4,12913.81,5881.83,3776.87,2386.85,24596.92762429445
REC000188,Battery,Fremont,2024-09,149.9,5,14773.83,5867.09,3390.51,3515.46,26685.90108065284
REC000189,Body,Fremont,2024-10,159.3,7.5,11746.73,4614.82,2429.31,2349.47,20053.184172815498
REC000190,Logistics,Shanghai,2023-12,164.6,6.2,13323.33,8942.5,2793.95,1052.52,27470.64181075369
REC000191,Body,Berlin,2024-11,165.4,4.6,16753.29,1316.28,3252.43,2492.57,23880.569876166675
REC000192,Battery,Berlin,2024-01,154.9,2.6,11310.57,3488.65,3574.69,859.61,18709.671167088287
REC000193,Logistics,Berlin,2023-09,166.2,6.5,13259.33,5379.74,2817.97,1341.04,20205.745337260705
REC000194,Assembly,Fremont,2024-05,164.2,6,15069.9,3994.92,1976.83,1940.25,18120.292786443657
REC000195,Battery,Fremont,2024-08,155.5,1.7,11044.38,4586.71,2881.23,2173.38,23069.712050473496
REC000196,Body,Fremont,2023-12,146.5,2,8763.23,5065.97,2657.46,2761.5,18891.556434400078
REC000197,Chassis,Austin,2023-05,148.6,8.1,14188.77,4556.88,3281.91,3412.38,22539.245076749132
REC000198,Paint,Austin,2024-12,167.5,5.6,12347.1,2931.07,4445.77,2139.45,24074.278065490922
REC000199,Body,Shanghai,2023-12,174.3,2.2,11920.34,6241.46,4184.99,2217.53,18936.406753732383
REC000200,Logistics,Fremont,2023-01,160,7.3,12509.66,6251.34,2860.13,2477.41,30724.30672885477
REC000201,Battery,Berlin,2024-08,174,7.4,8454.44,7366.43,3155.8,1430.9,22107.30391
REC000202,Paint,Berlin,2024-04,159.5,3.6,11250.34,2174.12,1697.53,1396.63,14087.643988499412
REC000203,Battery,Shanghai,2023-12,148.6,3.2,14143.61,6154.18,3609.88,1653.39,23457.360042242264
REC000204,Logistics,Berlin,2023-09,157.9,5.2,11992.01,3705.13,3211.12,1939.19,21422.760243604906
REC000205,Battery,Shanghai,2024-01,174.9,5.3,10451.89,4816.19,3509.01,1307.31,19914.861910306365
REC000206,Chassis,Fremont,2024-05,154,4.7,9781.82,4022.23,2171.69,1749.27,19291.92258729709
REC000207,Paint,Berlin,2024-05,158.6,2.9,12815.5,3563.64,3085.56,2349.5,24314.74613993921
REC000208,Paint,Fremont,2023-04,171.9,4.3,14524.06,5932.6,2422.28,2405.13,23033.65967721139
REC000209,Logistics,Austin,2024-02,171.2,4.2,15077.99,7519.5,4011.49,1613.99,27617.30905
REC000210,Chassis,Berlin,2024-07,163.1,2,10331.88,7959.2,3431.44,1417.6,22964.327654374185
REC000211,Body,Austin,2023-07,165.3,7,16874.79,6553.53,4190.41,910.2,22790.54572051056
REC000212,Battery,Berlin,2023-03,170.6,2.9,12341.54,3327.56,1933.81,2304.16,20294.555814452422
REC000213,Assembly,Fremont,2023-01,163.1,7.6,7080.74,4805.12,2864.6,2188.99,13753.372582154512
REC000214,Battery,Shanghai,2023-12,172.8,5.3,12356.58,4918.38,2801.23,1565.32,23612.945808001925
REC000215,Battery,Fremont,2024-03,166.7,3.7,8990.51,5799.02,3343.95,795.92,17485.682951667677
REC000216,Body,Fremont,2023-11,158.5,5.8,13227.9,6102.21,3239.57,2349.48,24544.21545926521
REC000217,Battery,Fremont,2023-10,164.3,4.7,12834.36,4304.36,3098.37,2272.72,22026.075421564427
REC000218,Chassis,Berlin,2023-02,156.1,7.6,7430.66,6876.47,1529.44,1454.59,15562.811673879361
REC000219,Chassis,Shanghai,2023-04,150.3,9.2,16313.26,8530.04,1973.56,1236.75,27073.46642518408
REC000220,Paint,Austin,2024-05,148.6,5.8,10064.74,5537.29,2677.75,3241.43,20675.47655882184
REC000221,Logistics,Fremont,2024-05,157.9,4.6,6544.26,4151.51,3333.71,1949.3,16639.21329121025
REC000222,Assembly,Berlin,2023-08,163.1,8.2,15842.33,6611.82,4480.55,1389.29,21919.67575167723
REC000223,Battery,Austin,2024-11,178,4.6,13831.81,6669.45,3202.5,2387.47,24722.38736
REC000224,Battery,Fremont,2024-02,164.2,3.9,11231.94,6043.27,4120.11,1093.28,28970.80647415979
REC000225,Body,Austin,2024-12,161.9,7.5,12145.24,4994.76,2627.83,2016.14,22520.08040511187
REC000226,Logistics,Fremont,2023-04,159,6.7,11650.34,7108.25,1554.41,2302.53,22017.35428400448
REC000227,Chassis,Austin,2023-06,156.4,4,7241,3557.41,3444.75,2135.06,16919.913667217148
REC000228,Assembly,Austin,2024-07,161.3,5.6,7805.24,4902.84,2983.68,1984.93,16654.36218
REC000229,Paint,Shanghai,2024-12,157.2,4.3,14856.9,7856.3,2582.35,1699.5,30793.326224881363
REC000230,Chassis,Shanghai,2023-04,156.8,6.2,13238.06,4967.82,1417.1,1666.88,22366.34574
REC000231,Logistics,Fremont,2023-03,168.2,6,14746.33,5040.99,959.2,2975.83,20524.10580476795
REC000232,Paint,Berlin,2024-08,150.9,2.4,15622.98,5329.29,4168.72,1529.62,27053.85128
REC000233,Body,Shanghai,2023-06,157.5,5.1,2073.12,3635.28,2364.65,1798.06,9783.006092773558
REC000234,Body,Austin,2024-11,153.1,2,10776.9,3284.24,3785.92,674.3,20351.853495615374
REC000235,Battery,Shanghai,2023-07,161.2,2.2,8534.74,4196.69,4667.29,3285.71,17889.697871849636
REC000236,Logistics,Shanghai,2024-02,168.5,4,11616.05,4723.87,2627.76,1892.26,20049.891908854708
REC000237,Assembly,Fremont,2023-12,163.5,3.8,6442.01,6762.28,4111.97,2253.45,18045.450727739404
REC000238,Paint,Shanghai,2024-04,157.8,1.6,13792.16,5393.81,3483.19,3178.53,22316.906679398995
REC000239,Chassis,Shanghai,2024-08,169.4,2.6,13981.01,7277.17,4085.75,1584.8,23639.86315669979
REC000240,Logistics,Austin,2023-08,168.8,1.9,18821.28,5805.23,3054.59,1268.56,27667.57407054086
REC000241,Logistics,Shanghai,2024-11,160.4,3.5,11699.47,6298.25,3381.01,2340.25,27626.851976572198
REC000242,Body,Austin,2023-02,175.9,6.1,14031.83,5948.31,3713.23,2193.87,25841.195495887598
REC000243,Battery,Shanghai,2024-01,164.2,8,14910.93,7383.5,1474.99,3291.03,28462.376728404008
REC000244,Battery,Shanghai,2023-08,163.9,7.1,17156.64,5088.86,2709.26,2178.99,26043.320246957595
REC000245,Paint,Berlin,2024-09,148,5.9,8605.97,5139.35,1502.12,2510.56,15922.13515799496
REC000246,Body,Shanghai,2024-08,143.2,5.8,14685.72,3406.77,2865.96,2113.55,22498.77727202226
REC000247,Logistics,Austin,2024-04,160.6,4.8,13192.62,6339.18,2584.49,1425.75,23316.879124807194
REC000248,Assembly,Austin,2023-04,170,4.8,7148.82,4265.2,4445.26,1002.42,19315.99829944552
REC000249,Body,Fremont,2024-04,163.3,7.8,13402.22,6092.9,4947.79,2533.78,29003.50909166859
REC000250,Paint,Fremont,2024-08,169.5,6.2,14224.74,5288.61,3423.74,1328.69,24734.222127581845
REC000251,Paint,Berlin,2023-06,155.9,5.4,6939.81,3277.25,4624.49,2402.92,14459.652043296457
REC000252,Body,Austin,2023-04,160.8,1.5,11771.37,5145.12,3168.14,2039.07,23228.93203442246
REC000253,Paint,Austin,2024-04,160.2,6.5,12235.5,4357.87,2315.36,1941.64,22757.218471574943
